origin_name,destination_name,generated_distance_m_full,reference_distance_m_full,signed_difference_m,absolute_difference_m,within_tolerance
G,C,20809.753574156955,20809.7016077685,0.05196638845518464,0.05196638845518464,True
G,J1,23550.29676078884,23543.857666424403,6.439094364435732,6.439094364435732,False
G,J3,28795.596423053834,28796.1222488922,-0.525825838365563,0.525825838365563,True
G,J6,28952.334744395463,28952.7942898832,-0.4595454877380689,0.4595454877380689,True
G,K,39066.57313498985,39066.5684522577,0.004682732149376534,0.004682732149376534,True
F4,D,6333.444437899516,6333.43916896567,0.00526893384540017,0.00526893384540017,True
F4,E,4082.898259635745,4082.8982596357396,5.4569682106375694e-12,5.4569682106375694e-12,True
F4,G,4028.2934105568143,4028.2934105568097,4.547473508864641e-12,4.547473508864641e-12,True
F4,F4,0.0,0.0,0.0,0.0,True
F4,F5,6690.828886562755,6690.8242038307,0.004682732054789085,0.004682732054789085,True
F4,F6,4431.852064981456,4431.85206498145,6.366462912410498e-12,6.366462912410498e-12,True
F4,F7,5657.198566725518,5668.077374732839,-10.878808007321823,10.878808007321823,False
F4,S,14303.474595358999,14303.474594556,8.02998329163529e-07,8.02998329163529e-07,True
F4,C,22409.649759276803,22409.5977928883,0.05196638850247837,0.05196638850247837,True
F4,J1,23090.49473906231,23085.011173688,5.483565374310274,5.483565374310274,False
F4,J3,28208.69858614486,28216.6676631179,-7.969076973040501,7.969076973040501,False
F4,J6,28655.270836812484,28666.6059978193,-11.335161006816634,11.335161006816634,False
F4,K,39323.11310109648,39323.1131010964,8.003553375601768e-11,8.003553375601768e-11,True
F5,D,2075.3965785260216,2075.39130959217,0.005268933851766633,0.005268933851766633,True
F5,E,3504.597560861123,3504.59756086112,2.7284841053187847e-12,2.7284841053187847e-12,True
F5,G,3449.992711782192,3449.99271178219,2.2737367544323206e-12,2.2737367544323206e-12,True
F5,F4,5762.039543166282,5762.03954316628,1.8189894035458565e-12,1.8189894035458565e-12,True
F5,F5,0.0,0.0,0.0,0.0,True
F5,F6,5774.598271169094,5774.59827116909,3.637978807091713e-12,3.637978807091713e-12,True
F5,F7,10172.711710728045,10183.5905187353,-10.87880800725543,10.87880800725543,False
F5,S,11453.261985250492,11452.6932029568,0.5687822936924931,0.5687822936924931,True
F5,C,22251.852918044075,22251.575790553103,0.2771274909719068,0.2771274909719068,True
F5,J1,26835.424894952317,26828.9858005879,6.439094364417542,6.439094364417542,False
F5,J3,32080.72455721731,32081.250383055703,-0.5258258383946668,0.5258258383946668,True
F5,J6,32237.462878558938,32237.9224240467,-0.45954548776353477,0.45954548776353477,True
F5,K,36669.641390221695,36669.641390221695,0.0,0.0,True
F6,D,5744.988897121103,5744.98421438904,0.004682732062974537,0.004682732062974537,True
F6,E,2630.2501765449047,2630.2501765448997,5.002220859751105e-12,5.002220859751105e-12,True
F6,G,2575.645327465974,2575.6453274659702,3.637978807091713e-12,3.637978807091713e-12,True
F6,F4,4577.562807745517,4577.56280774551,6.366462912410498e-12,6.366462912410498e-12,True
F6,F5,5238.180803471916,5238.17612073986,0.00468273205569858,0.00468273205569858,True
F6,F6,0.0,0.0,0.0,0.0,True
F6,F7,5031.305209411401,5042.18401741873,-10.878808007329098,10.878808007329098,False
F6,S,11285.204372017943,11313.6179548579,-28.4135828399576,28.4135828399576,False
F6,C,19391.379535935743,19419.7411531903,-28.36161725455895,28.36161725455895,False
F6,J1,21668.338851506218,21663.5033327189,4.835518787316687,4.835518787316687,False
F6,J3,26703.752593748843,26704.2619768055,-0.5093830566584074,0.5093830566584074,True
F6,J6,26860.49091509047,26860.934017796597,-0.44310270612550084,0.44310270612550084,True
F6,K,41214.18031825928,41245.177511975,-30.99719371572428,30.99719371572428,False
F7,D,10139.161204414133,10150.0353296894,-10.874125275267943,10.874125275267943,False
F7,E,7024.422483837934,7035.3012918452605,-10.87880800732637,10.87880800732637,False
F7,G,6969.817634759003,6980.696442766331,-10.87880800732728,10.87880800732728,False
F7,F4,5282.3560643865785,5293.2348723939,-10.878808007321823,10.878808007321823,False
F7,F5,9632.353110764947,9643.22723604022,-10.8741252752734,10.8741252752734,False
F7,F6,5164.486154010403,5175.36496201773,-10.87880800732728,10.87880800732728,False
F7,F7,0.0,0.0,0.0,0.0,True
F7,S,12086.924648476557,12096.2622770882,-9.337628611643595,9.337628611643595,False
F7,C,19987.923137031376,19987.8679781546,0.05515887677393039,0.05515887677393039,True
F7,J1,17805.92020650272,17801.097938008803,4.822268493917363,4.822268493917363,False
F7,J3,22841.33394874534,22841.8565820954,-0.5226333500577311,0.5226333500577311,True
F7,J6,22998.07227008697,22998.5286230865,-0.45635299952846253,0.45635299952846253,True
F7,K,42015.90059471788,42027.8218342053,-11.92123948741937,11.92123948741937,False
S,D,10887.018309107436,10887.006794781399,0.011514326037286082,0.011514326037286082,True
S,E,9937.37616384227,9937.36933224832,0.006831593949755188,0.006831593949755188,True
S,G,9882.771314763339,9882.76448316939,0.006831593947936199,0.006831593947936199,True
S,F4,12870.800214162211,12870.8002141622,1.0913936421275139e-11,1.0913936421275139e-11,True
S,F5,10380.21021545825,10380.1987011322,0.011514326050019008,0.011514326050019008,True
S,F6,10024.561640767683,10052.9752244106,-28.41358364291773,28.41358364291773,False
S,F7,11089.633390999956,11089.6333909999,5.638867150992155e-11,5.638867150992155e-11,True
S,S,0.0,0.0,0.0,0.0,True
S,C,14594.832740792848,14595.1243929811,-0.2916521882525558,0.2916521882525558,True
S,J1,20999.385065536986,20992.945971172598,6.439094364388438,6.439094364388438,False
S,J3,26246.6974076961,26247.2232335345,-0.5258258383983048,0.5258258383983048,True
S,J6,26403.43572903773,26403.8952745255,-0.4595454877708107,0.4595454877708107,True
S,K,34532.64228799383,34535.2258980666,-2.5836100727683515,2.5836100727683515,False
C,D,21123.615788580937,21122.5201820965,1.095606484435848,1.095606484435848,False
C,E,20173.97364331578,20172.8827195634,1.0909237523810589,1.0909237523810589,False
C,G,20119.36879423685,20118.2778704845,1.090923752348317,1.090923752348317,False
C,F4,21986.53387362895,21987.0211376767,-0.4872640477515233,0.4872640477515233,True
C,F5,20616.807694931747,20615.7120884473,1.095606484446762,1.095606484446762,False
C,F6,19225.34090533672,19254.2417530275,-28.90084769078021,28.90084769078021,False
C,F7,19096.4209324308,19096.411105380797,0.009827050002058968,0.009827050002058968,True
C,S,13766.041723234861,13764.9576310764,1.0840921584604075,1.0840921584604075,False
C,C,0.0,0.0,0.0,0.0,True
C,J1,16702.88599082214,16698.2093545016,4.676636320538819,4.676636320538819,False
