origin_index,origin_name,destination_index,destination_name,origin_node_id,destination_node_id,distance_m_full,distance_m_rounded,distance_km_full,reverse_distance_m_full,signed_asymmetry_m,absolute_asymmetry_m
8,C,10,J3,329019268,3427843037,22404.367503004974,22404,22.404367503004973,23951.014050496033,-1546.6465474910583,1546.6465474910583
8,C,11,J6,329019268,493991996,24224.816339499357,24225,24.224816339499355,18209.1033755509,6015.712963948456,6015.712963948456
8,C,12,K,329019268,8485681125,31541.424388079424,31541,31.541424388079424,30925.328384317654,616.0960037617697,616.0960037617697
9,J1,0,D,3673059505,13599647452,26197.646392608327,26198,26.197646392608327,26342.25310127069,-144.6067086623625,144.6067086623625
9,J1,1,E,3673059505,4712847066,22970.67716076394,22971,22.970677160763938,23578.84541053446,-608.1682497705224,608.1682497705224
9,J1,2,G,3673059505,8555971924,22942.128511018316,22942,22.942128511018318,23550.29676078884,-608.1682497705224,608.1682497705224
9,J1,3,F4,3673059505,10112100807,22540.474761771053,22540,22.54047476177105,23090.49473906231,-550.0199772912565,550.0199772912565
9,J1,4,F5,3673059505,1846989986,25690.838298959137,25691,25.690838298959136,26835.424894952317,-1144.5865959931798,1144.5865959931798
9,J1,5,F6,3673059505,6787481813,21496.835855803507,21497,21.496835855803507,21668.338851506218,-171.5029957027109,171.5029957027109
9,J1,6,F7,3673059505,4923789165,17635.51527391106,17636,17.63551527391106,17805.92020650272,-170.40493259166033,170.40493259166033
9,J1,7,S,3673059505,4927903180,21029.764869388826,21030,21.029764869388824,20999.385065536986,30.379803851839824,30.379803851839824
9,J1,8,C,3673059505,329019268,17585.97644779853,17586,17.58597644779853,16702.88599082214,883.0904569763916,883.0904569763916
9,J1,10,J3,3673059505,3427843037,7936.244511430551,7936,7.936244511430551,6874.43697805919,1061.8075333713614,1061.8075333713614
9,J1,11,J6,3673059505,493991996,8092.982832772171,8093,8.09298283277217,4297.802542108672,3795.1802906634985,3795.1802906634985
9,J1,12,K,3673059505,8485681125,45345.30161870794,45345,45.34530161870794,46111.86426279547,-766.5626440875276,766.5626440875276
10,J3,0,D,3427843037,13599647452,31758.542375139376,31759,31.758542375139374,31587.552763535685,170.98961160369072,170.98961160369072
10,J3,1,E,3427843037,4712847066,28531.573143294983,28532,28.531573143294985,28824.145072799456,-292.5719295044728,292.5719295044728
10,J3,2,G,3427843037,8555971924,28503.024493549365,28503,28.503024493549365,28795.596423053834,-292.57192950446915,292.57192950446915
10,J3,3,F4,3427843037,10112100807,27910.627520918297,27911,27.910627520918297,28208.69858614486,-298.0710652265625,298.0710652265625
10,J3,4,F5,3427843037,1846989986,31251.734281490186,31252,31.251734281490187,32080.72455721731,-828.9902757271229,828.9902757271229
10,J3,5,F6,3427843037,6787481813,26489.592038424154,26490,26.489592038424153,26703.752593748843,-214.16055532468818,214.16055532468818
10,J3,6,F7,3427843037,4923789165,22628.27145653171,22628,22.62827145653171,22841.33394874534,-213.06249221363032,213.06249221363032
10,J3,7,S,3427843037,4927903180,27394.80247208631,27395,27.39480247208631,26246.6974076961,1148.105064390209,1148.105064390209
10,J3,8,C,3427843037,329019268,23951.014050496033,23951,23.95101405049603,22404.367503004974,1546.6465474910583,1546.6465474910583
10,J3,9,J1,3427843037,3673059505,6874.43697805919,6874,6.874436978059189,7936.244511430551,-1061.8075333713614,1061.8075333713614
10,J3,11,J6,3427843037,493991996,8033.64412952705,8034,8.03364412952705,10724.345902318037,-2690.701772790987,2690.701772790987
10,J3,12,K,3427843037,8485681125,51710.339221405404,51710,51.710339221405405,52538.40762300482,-828.0684015994193,828.0684015994193
11,J6,0,D,493991996,13599647452,28087.345740343255,28087,28.087345740343256,31744.291084877314,-3656.9453445340587,3656.9453445340587
11,J6,1,E,493991996,4712847066,24860.376508498863,24860,24.860376508498863,28980.883394141085,-4120.506885642222,4120.506885642222
11,J6,2,G,493991996,8555971924,24831.827858753244,24832,24.831827858753243,28952.334744395463,-4120.506885642219,4120.506885642219
11,J6,3,F4,493991996,10112100807,24430.174109505984,24430,24.430174109505984,28655.270836812484,-4225.0967273065,4225.0967273065
11,J6,4,F5,493991996,1846989986,27580.537646694065,27581,27.580537646694065,32237.462878558938,-4656.925231864872,4656.925231864872
11,J6,5,F6,493991996,6787481813,23386.535203538435,23387,23.386535203538436,26860.49091509047,-3473.9557115520365,3473.9557115520365
11,J6,6,F7,493991996,4923789165,19525.21462164599,19525,19.52521462164599,22998.07227008697,-3472.8576484409787,3472.8576484409787
11,J6,7,S,493991996,4927903180,22919.464217123754,22919,22.919464217123753,26403.43572903773,-3483.9715119139764,3483.9715119139764
11,J6,8,C,493991996,329019268,18209.1033755509,18209,18.209103375550903,24224.816339499357,-6015.712963948456,6015.712963948456
11,J6,9,J1,493991996,3673059505,4297.802542108672,4298,4.2978025421086725,8092.982832772171,-3795.1802906634985,3795.1802906634985
11,J6,10,J3,493991996,3427843037,10724.345902318037,10724,10.724345902318037,8033.64412952705,2690.701772790987,2690.701772790987
11,J6,12,K,493991996,8485681125,47236.62526902063,47237,47.23662526902063,53849.97618295941,-6613.3509139387825,6613.3509139387825
12,K,0,D,8485681125,13599647452,37373.52005967291,37374,37.37352005967291,39654.949953709045,-2281.429894036133,2281.429894036133
12,K,1,E,8485681125,4712847066,39144.58868305168,39145,39.14458868305168,39121.177984068774,23.410698982908798,23.410698982908798
12,K,2,G,8485681125,8555971924,39089.98383397275,39090,39.08998383397275,39066.57313498985,23.410698982901522,23.410698982901522
12,K,3,F4,8485681125,10112100807,40026.453774240035,40026,40.02645377424003,39323.11310109648,703.3406731435534,703.3406731435534
12,K,4,F5,8485681125,1846989986,39587.42273466764,39587,39.58742273466764,36669.641390221695,2917.781344445946,2917.781344445946
12,K,5,F6,8485681125,6787481813,41414.58939335964,41415,41.41458939335964,41214.18031825928,200.4090751003605,200.4090751003605
12,K,6,F7,8485681125,4923789165,43149.733089273526,43150,43.149733089273525,42015.90059471788,1133.832494555645,1133.832494555645
12,K,7,S,8485681125,4927903180,32397.36488348779,32397,32.39736488348779,34532.64228799383,-2135.2774045060432,2135.2774045060432
12,K,8,C,8485681125,329019268,30925.328384317654,30925,30.925328384317655,31541.424388079424,-616.0960037617697,616.0960037617697
12,K,9,J1,8485681125,3673059505,46111.86426279547,46112,46.11186426279547,45345.30161870794,766.5626440875276,766.5626440875276
12,K,10,J3,8485681125,3427843037,52538.40762300482,52538,52.53840762300482,51710.339221405404,828.0684015994193,828.0684015994193
12,K,11,J6,8485681125,493991996,53849.97618295941,53850,53.849976182959416,47236.62526902063,6613.3509139387825,6613.3509139387825
